Site ,Location,incedentDate,approxIncidentDate,Quarter,Year,Level,LevelFormatted,Text,Lat,Lon,Fukushima/Wieghtman report safety recommendations
British Energy Generation Limited - Dungeness B,Dungeness,23/11/09,,Q1 10,2010,N/A,0,"<p>On 23 November 2009 a fire occurred in the  boiler annexe area of Dungeness B Reactor 22.Â   The fire forced the shutdown of the affected reactor.Â  The unaffected reactor on the site was on its  periodic shutdown during the event.Â  The  licensee, British Energy Generation Limited, supported by Kent Fire &amp;  Rescue Service responded well to the incident.Â   The event gave rise to no injuries and no release of radioactive  material.</p> <p>The incident was not reported in the fourth  quarter 2009 statement, but is reported in the statement for the current period  for three reasons.Â  First, HSEâ\u0080\u0099s  preliminary investigation of the event has now been completed.Â  Second, in the current quarter the licensee  increased the significance of this incident under their arrangements.Â  Finally, on 13 January 2010 during  significant safety assessment and safety improvement work undertaken by the licensee  in relation to the event, the licensee identified cables in the boiler annexes  of both reactors that were insufficiently protected against hot gas release,  and challenges safety case requirements.Â   Therefore this outcome is considered to meet the reporting criteria.</p> <p>In respect of the fire, the Dungeness B  Station Director has provided a written undertaking to consult with HSE prior  to the return to service of Reactor 22.Â   Since the other reactor was on periodic shutdown at the time, reactor  operation at Dungeness B could not re-start until HSE is satisfied.</p> <p>To assist in deciding on a regulatory  response an enforcement action plan was developed, this involved application of  the HSE Enforcement Management Model.Â   The enforcement action plan required letters to be sent to the licensee  defining HSE requirements, both for return to service and for longer-term  improvements.</p> <p>In  response to both the fire and the unprotected cable aspects of the event, the  licensee responded positively throughout and HSEâ\u0080\u0099s requirements were met prior  to the return to service of Reactor 22 in February&nbsp;2010.Â  These included the licensee completing  significant safety assessment work and associated plant improvements prior to  return to service.Â  The licensee also  provided a commitment to consult with HSE with respect to longer-term  improvements to reduce fire risk in the boiler annexes.Â  HSEâ\u0080\u0099s requirements relating to fire and the  unprotected cables aspects for Reactor 21 will be met prior to return to  service of the reactor.</p> <p>HSE is continuing to investigate the unprotected  cables aspects, to decide if further enforcement action is warranted to secure  improvements to nuclear safety.</p>",50.91333,0.95985,F
Urenco UK Limited - Capenhurst ,Capenhurst ,17/12/09,,Q1 10,2010,N/A,0,"<p>Urenco UK Limited - Capenhurst reported  on 17th December 2009 that during a periodic review of the Plant Maintenance  schedule, the licensee identified that some safety related equipment items had  not been placed on to the Plant Maintenance Schedule; some since 2005.&nbsp;  This potential shortfall related to extensions to the latest enrichment  facility, which was actively commissioned over the period 2005 to 2009.&nbsp;  Consequently, affected safety related equipment items may not have been  maintained in accordance with the plant safety case.&nbsp; Urgent checks were  made of the safety related equipment items, three were found to be out of  operation but of low safety significance,&nbsp;and were promptly  repaired.&nbsp; No evidence was found of operation of the plant outside the  envelope for safe operation specified by the safety case.&nbsp; The licensee  conducted a timely Board of Inquiry, and the implementation of the  recommendations arising from the inquiry are being monitored by HSE.&nbsp; The  licensee has also acted promptly on HSE advice to improve labelling of  structures, systems and components across the site.&nbsp; HSE will continue to  monitor the licensee's implementation of the further improvements to decide if  enforcement action is warranted. </p>",53.26429,-2.95019,F
Sellafield - Calder Hall,Sellafield,19/04/10,,Q3 10,2010,N/A,0,"<p>On 19 April 2010, Sellafield Ltd (SL) sent a routine  consignment of exempt waste to the Lillyhall landfill site in Workington, Cumbria.Â  Exempt waste is defined as material with an  activity level of less than 0.4 becquerel/gram ie a very low level.Â  This consignment included four bags of  material that SL subsequently identified as being above the exemption  threshold.Â  This became apparent when SL  identified another bag of waste having activity levels above the threshold for  exempting waste, however this bag had also been categorised as exempt.Â  The bag was quarantined and operations in the  waste sentencing facility at SL were suspended.Â   The Health and Safety Executive (HSE) was notified of the incident on 21  April 2010.</p>          <p>            The four bags of waste were safely recovered by SL  from the Lillyhall landfill site over the period 22 to 28 April 2010.Â  One bag had been punctured resulting in minor  land pollution.Â  This was remediated with  confirmatory monitoring detecting only background activity levels.Â  SL has reported that no other bags of waste  with activity levels exceeding the exemption level have been sent to the  Lillyhall site.Â  The health and safety of  persons was unaffected by either the incident or subsequent recovery activities.</p>          <p>            A detailed investigation by SL identified the main cause  of the incident to be incorrect loading of software in the waste sentencing  equipment for one of the activity detection instruments together with shortfalls  in the commissioning procedure for this system.</p>          <p>            This incident is being investigated by the  Environment Agency (EA) in respect to breaches of the Environmental Permitting  Regulations 2010.Â  This is on the basis  that SL did not have a permit to dispose of waste with activity levels greater  than those specified for exempt waste to the Lillyhall landfill site.Â </p>          <p>            On 16 July 2010 the Department for Transport issued  an Improvement Notice in relation to this incident due to concerns over SLâ\u0080\u0099s  arrangements for discharging its obligations under Transport Regulations.</p>          <p>            HSE has taken no formal enforcement action in  relation to this incident on the grounds that there have been no related health  and safety effects on the public or workforce and no significant breaches in  Health and Safety law.Â  HSE is however supporting  the EA investigation.          </p>",54.4193,-3.4874,F
Sellafield - Calder Hall,Sellafield,24/08/10,,Q4 10,2010,1,1,"<p>On  the 24 August 2010 an incident occurred when one of two gas analysers serving Magnox  Swarf Storage Silo Compartment No.7, was found to be disconnected from its  sample pipe, and the other analyser was out of service.Â  As a result no analysis of the air space in  Compartment No. 7 to detect hydrogen content was carried out for a period of 6  days.Â  There was no release of  radioactivity, no personal injury and no requirement for the equipment to have  operated. </p>          <p>            The  safety case requires two diverse hydrogen analysers per compartment to provide  the means of measuring hydrogen concentration in the extract flow from the  compartments.Â  It is also required that  one analyser must be in service before the second one may be taken out of  service. </p>          <p>            Sellafield  Ltd (SL) launched an immediate Board of Inquiry into the circumstances preceding  and during the incident.Â  HSE carried out  a separate investigation in to the event during September 2010.Â  Subsequent consideration of the incident, and  application of the HSE Enforcement Management Model, resulted in HSE serving an  Improvement Notice under Section 2 of the Health and Safety at Work Act 1974.</p>          <p>            SL has responded positively to the incident and has developed an  improvement programme to address its Board of Inquiry findings and the requirements  of the Improvement Notice. </p>          <p>HSE is monitoring SLâ\u0080\u0099s performance in responding to the learning  opportunities from the incident, and implementation of its improvement  programme.</p>          <p>This  incident has been rated at Level 1, an anomaly, on the 7 level International  Nuclear and Radiological Event Scale (INES).</p>",54.4193,-3.4874,F
Sellafield - Calder Hall,Sellafield,N/A,,Q4 10,2010,1,1,"<p>Sellafield Ltd (SL) is pursuing a programme of work to identify and  record areas of local radiological contamination adjacent to ventilation  ductwork and pipework in the Magnox Reprocessing Plant.Â  The analysis of samples taken in support of  this work identified an area of ground that is contaminated with plutonium  bearing liquors.Â  </p>          <p>The area of contaminated ground is relatively small and is located  within a controlled area (known as the â\u0080\u009cSeparation Areaâ\u0080\u009d) â\u0080\u0093Â  towards the centre of the licensed site.Â  No emergency response was necessary, although  access to the immediate area is being controlled.Â  No workers are reported to have been  affected.</p>          <p>SL has made an estimate of the amount of radioactive material present at  the location based on sample results.Â   The estimate indicates the event is reportable to HSE, in accordance  with the Ionising Radiation Regulations 1999.Â   However, the confirmed figure will not be known until the contaminated  material has been removed and examined.</p>          <p>HSE has followed up this event and is content with SLâ\u0080\u0099s response to  date.Â  However, in conjunction with the  Environment Agency, our inspectors will continue to monitor the licenseeâ\u0080\u0099s  response to ensure the area is appropriately remediated and, workers and the  environment are protected.</p>        <p>SL identified this contamination during a programme of work to improve  knowledge of legacy contamination on the site, and in response to past events (including  an event which occurred in January 2009 which was investigated by HSE and  Environment Agency).Â  The HSE welcomes  the commitment by SL to resolve shortfalls in contamination control, which are  attributed to previous incidents on the site. </p>          <p>This  incident has been provisionally rated at Level 1 on INES, which is an anomaly  on the 7 level scale.          </p>",54.4193,-3.4874,F
Sellafield,Sellafield,02/02/11,,Q1 11,2011,N/A,0,"<p>During a  routine inspection on 2 February 2011, Sellafield Ltd found a small pool of  approximately 25 ml of a brown liquid underneath the lowest point in a  ventilation duct in the redundant Plutonium Purification Plant (a legacy  plant). It was discovered in an area designated as having low levels of  contamination. The facility had been emptied of redundant plant pending final  decommissioning.Â  The ventilation system  is safety related; it is required to support containment, by preventing the  movement of radioactive material from areas of high contamination. </p><p>Sellafield  Ltdâ\u0080\u0099s analysis has confirmed that the liquor contained plutonium at a  concentration that exceeded the statutory limit of Schedule 8 of the Ionising  Radiation Regulations (1999) by a factor of about 5. </p><p>We have  investigated the incident and we are satisfied that neither the public nor  workers were adversely affected by the incident.Â  We are content that the incident was properly  reported, the contamination correctly analysed and safely cleaned up, and that  Sellafield Ltd carried out an appropriate internal investigation that  identified the cause of the event.Â  </p><p>Sellafield Ltd  has confirmed that contaminated condensation leaked out through a gasket in a  joint in the ventilation system, which was designed about 20 years ago.Â  The incident has highlighted a number of  shortfalls in the design of the ventilation system and the company is currently  taking action to address these.Â  </p><p>We have judged  this incident against HSEâ\u0080\u0099s Enforcement Management Model and concluded that no  further enforcement action is necessary.Â   However, Sellafield Ltd does not intend to finish decommissioning this  plant until 2058 and we are pursuing the development of a safety case that  takes account of this incident to underpin its continued safety throughout this  period.</p>",54.4193,-3.4874,F
Torness,Torness,21/02/11,,Q1 11,2011,N/A,0,"<p>Tritiated  effluent arises as part of normal reactor operation, and it is collected in  tanks which are safely discharged periodically to sea, via the site liquid  effluent discharge culverts. These discharges are authorised under the site  discharge authorisation, issued by the Scottish Environment Protection Agency  (SEPA).</p><p>BEGL reported  on 21 February 2011 that an elevated level of radioactivity was detected during  routine sampling of a groundwater sampling borehole on the site. This led to an  investigation, which suggests that the source of the activity is likely to be  leakage from two flanges in tritiated effluent discharge lines 1&amp;2, which  lead from the tritiated effluent tanks to the discharge culverts.</p><p>The licensee  has reported that the activity levels detected in the borehole samples is very  small, and in the sump of the secondary containment for the discharge lines it is  less than 0.1% of the activity level of the liquid authorised for discharge.</p><p>On discovery  of the elevated activity levels, BEGL suspended use of the affected discharge  lines until measures to prevent further leakage were put in place, and interim  operational safety improvements were implemented. Following their remedial  work, they have produced a safety case to allow further use of the lines until  their investigations are complete.</p><p>ONR carried  out with SEPA a joint inspection of the event, which found that the licenseeâ\u0080\u0099s  initial response to the event has been appropriate. However, letters from ONR  and SEPA have been sent to Torness requesting further information relating to  the circumstances of the event and their proposed response in the longer term. </p><p>Currently, we  await completion of the licenseeâ\u0080\u0099s investigation and a response to the  regulatorsâ\u0080\u0099 letters, and in the interim will continue to monitor the outcome  from further use of the site tritiated effluent discharge lines.</p>",55.96825,-2.40659,F
Hartlepool,Hartlepool,22/02/11,,Q1 11,2011,N/A,0,"<p>The  High Pressure Back Up Cooling System provides post trip cooling to the boilers  in the event of loss of normal boiler feed water. The system has three diesel  driven pumps that draw water from dedicated HPBUCS tanks through a common  suction header. This suction header can be isolated by closing a valveÂ  in the event of damage to the dedicated tanks  and feed lines to allow the pumps to be fed from the Reserve Feed Tanks (RFTs).  Under normal operation, it is a requirement of the Technical Specifications  that this valve is fully open. </p><p>On  22 February 2011 flow tests revealed that a valveÂ  was not fully open and therefore all three  HPBUCS pumps were declared unavailable. This represents a reduction in the  diversity of the cooling systems and the Technical Specifications require the  reactors to be shut down within 4 hours. </p><p>In  response to this event BEGL switched the feed supply to the RFTs within 20  minutes thus avoiding shutting down the reactors. The Valve was returned to the  fully open position shortly afterwards. </p><p>BEGL  has carried out a full and prompt investigation into this event and this has  addressed the wider aspects of this event including the level of maintenance  and subsequent testing on this valve and similar valves on other systems. BEGL  is currently completing remedial actions to address the findings.</p><p>ONR has carried out its own  investigation.Â  Our preliminary  conclusions are that the licenseeâ\u0080\u0099s investigation was thorough and that it has  identified the root causes of this event and extended the findings to other  systems that may have single point vulnerabilities. In addition BEGL has placed  actions to ensure that valve indications are robust, that maintenance standards  are adequate and return to service testing demonstrates that safety related  plant will deliver its safety function. ONR is currently monitoring the  Licenseeâ\u0080\u0099s progress on closing out the actions from the investigation </p>",54.635,-1.1808,F
Sellafield Ltd,Sellafield,N/A,01/01/11,Q2 11 ,2011,N/A,0,"<p>In February 2011, a pre-operation  radiological survey was requested due to the proposed use of an area for  lay-down purposes during maintenance work on the main building extract fans  serving the Analytical Services Laboratories. During the area survey  significant levels of surface contamination were detected, which were hitherto  unknown.Â  Subsequent additional surveys  and analysis confirmed that the total radioactivity in the ground exceeded the  quantity for notification in Column 4 of Schedule 8 in the Ionising Radiation  Regulations.Â  The detailed analysis has  also given reassurance that the material was of the order of decades old.Â  Furthermore it should be noted that despite  extensive investigations by Sellafield Ltd no obvious source or leak path has  been identified to date.Â  Sellafield Ltd  has concluded that the most appropriate ALARP approach is to record the  presence of the contamination and seal the surface to prevent its spread, and  then periodically to monitor the situation for migration of material.Â  Remediation of the contamination will  ultimately be undertaken through the Sellafield Site Ground Remediation  Project.Â  ONR has accepted that the  proposed way forward by the operator is reasonable.</p>",54.4193,-3.4874,F
Dungeness B,Dungeness,03/08/11,,Q3 11,2011,1,1,"<p>At Dungeness B power station uranium dioxide fuel clad in stainless  steel, is used to produce electricity.Â   Before a specific fuel assembly reaches a defined irradiation limit, it is  removed from a reactor using a fuelling machine and replaced by new fuel.Â  Handling  and initial storage of Irradiated Fuel Assemblies  (IFAs) is normally carried out in a carbon dioxide  atmosphere.Â  This limits the radiological  consequences arising from oxidation of any exposed uranium dioxide fuel if an  IFA is accidentally dropped or if the IFA contains fuel, with the cladding  having failed in the reactors.</p><p>On 3 August 2011 an IFA was loaded into the  fuelling machine which had an air rather than a carbon dioxide atmosphere.Â  EDF Energy Nuclear Generation Ltd (NGL)  reported this incident as a breach of one of the Dungeness B Technical  Specifications.Â  There were no injuries and no  release of radioactive material.</p><p>In response to the incident, NGL held a number of Operational Decision  Meetings to establish the best way to restore the plant to a sustainable safe position.Â  The plant was duly placed in such a  state.Â  This was facilitated by the low  decay heat of the IFA and the fact that the IFA contained no failed fuel.Â  Further fuel route activities were embargoed  by NGL without the specific agreement of the Station Director.Â  NGL has now completed a full investigation into this  incident, including the establishment of root causes and production of a  corrective action programme.</p><p>  ONR has  carried out its own investigation establishing key facts and satisfying itself  of the adequacy of the immediate remedial actions put in place by NGL to return  the fuel route to service in a safe manner.Â   ONR will now review the outcome of NGLâ\u0080\u0099s full investigation before  deciding whether further regulatory intervention is required beyond the  monitoringÂ  NGLâ\u0080\u0099s progress in closing out  the actions from its investigation.</p><p>  This  incident has been rated at Level 1 on INES, which is an anomaly on the 7 level  scale.</p>",50.91333,0.95985,F
URENCO UK Limited – Capenhurst – 22 February 2012,Capenhurst ,22/02/12,,Q1 12,2012,0,0,"<p>ONR was promptly  notified of a fire in a non radiologically contaminated solvent degreaser tank,  located within a pump maintenance workshop, at one of the enrichment  facilities.Â  There were no injuries to  personnel and the public were not affected. Monitoring of the perimeter of the  site confirmed that there was no significant release of radioactive  material.Â  The non-radioactive degreaser  solvent fire led to evacuation of the enrichment facility control room for  about an hour.Â  The fire was extinguished  by the licenseeâ\u0080\u0099s â\u0080\u0098on siteâ\u0080\u0099 Fire &amp; Rescue team, supported by Cheshire Fire  &amp; Rescue Service, as rehearsed during planned ONR observed emergency  exercises.Â  Other aspects of the  licenseeâ\u0080\u0099s emergency arrangements generally worked well, with only minor  improvements now being implemented.Â  As a  fire on a nuclear licensed site, both ONR and the licensee made reports to the  relevant Government Ministers.</p><p>The ONR nominated  site inspector inspected the facility affected the next day, and ensured that  the licensee had initiated a sufficiently scoped investigation, (a Board of  Inquiry).Â  The licenseeâ\u0080\u0099s subsequent  Board of Inquiry report has now been shared with ONR and assessed by ONR as  being appropriately comprehensive, with follow up actions identified for  implementation in a timely manner.Â  ONR  has determined that enforcement action was not appropriate.Â  This is on the basis that the licensee has  taken prompt action to implement a more robust maintenance regime and to  obviate the build up of oil and grease residues within the heated solvent  degreaser tank. These were understood to have been a key root cause of this  event.Â  Improvements to fire risk  assessments have also been initiated.Â   ONR will continue to inspect the licenseeâ\u0080\u0099s implementation of other  actions identified by the licenseeâ\u0080\u0099s Board of Inquiry.</p><p>This event has been  given a rating of 'Below Scale / Level 0' on the IAEA INES scale.</p>",53.26429,-2.95019,F
Sellafield Limited – Capenhurst Works,Capenhurst ,28/02/12,,Q1 12,2012,0,0,"<p>During planned site  decommissioning operations, a quantity of historical uranium contaminated water  and sludge was found in a radiologically controlled area that was recently  undergoing decommissioning clean up operations.Â   The spillage was contained within concrete service channels, which were  underneath steel plate covers.</p><p>Detailed analysis of  the water and sludge was promptly conducted, in order to confirm the actions  required to safely remove the material.Â   The analysis indicated that the contamination found exceeded the  quantity specified in IRR 1999 Schedule 8.Â   This quantity was therefore regarded as â\u0080\u0098significantâ\u0080\u0099 under these  regulations and, as such, was reportable to Government, under the siteâ\u0080\u0099s  reporting arrangements.</p><p>There has been no  injury or damage, no significant release of radioactive material, there was no  potential for any off-site hazard and the public were not affected.</p><p>The ONR nominated  site inspector, a specialist ONR inspector and the Environment Agency site  inspector jointly inspected the scene of the event, in response to the prompt  notification by the licensee. ONR has provided the Licensee with regulatory  advice to inform their investigation, which is currently nearing completion.  ONR is content that the scope of the investigation is sufficiently wide  ranging. Interim investigation reports have been provided by the Licensee and ONR  will continue to monitor the implementation of the investigation  recommendations.Â  ONR isÂ  content with the Licenseeâ\u0080\u0099s prudent response  to the event and no further regulatory action is planned, other than following  up implementation of investigation actions by the Licensee.</p><p>This event has been  given a rating of 'Below Scale / Level 0' on the IAEA INES scale.</p>",53.26429,-2.95019,F
Dungeness B,Dungeness,N/A,01/12/12,Q4 12,2012,1,1,"<p> In  December 2012, EDF Energy Nuclear Generation Ltd (NGL) notified ONR that the  primary sea defence at the Dungeness B nuclear power station (a shingle bank)  was not as robust as previously thought.</p><p> NGL  has initiated an investigation into the causes for this discrepancy, which will  be reviewed by ONR.Â  However, the  immediate focus of both NGL and ONR in response to this incident has been to  ensure that safety improvements have been made and will continue to be made in  a prompt manner.</p><p> Recommendation  10 in the <a href=\""http://www.hse.gov.uk/nuclear/fukushima/interim-report.pdf\"">interim Weightman report</a> into implications for the UK from Fukushima    required the UK  nuclear industry to review external flooding studies.Â  In response, NGL commissioned sea flooding  studies using modern data and a modern and consistent method for all its sites.</p><p> For  Dungeness B, this analysis indicated higher â\u0080\u0098over toppingâ\u0080\u0099 rates than  previously thought â\u0080\u0093 this is the rate at which sea water comes over the top of the  primary sea defence.Â  On 14 December  2012, NGL advised ONR that they no longer had confidence in this aspect of  their safety case and agreed to provide ONR with a justification for continued  reactor operation or to place the site into the safest state by 21 December  2012.</p><p> On 21 December 2012, NGL provided ONR with a draft  justification for continued operation at Dungeness B valid up to 31 January 2013,  which ONR has reviewed and considered adequate.Â   This was based primarily on:</p><ol>  <li>Reactor shut down on receipt of a â\u0080\u0098Severe Flood  Warningâ\u0080\u0099.</li>  <li>Implementation of temporary local flood protection  measures. These were completed by 23 December 2012.Â  The justification for continued operation was  also finalised by NGL on that date.</li>  <li>Commitments to:     <ol class=\""a\"">      <li>Provide more permanent local flood protection by 31  January 2013 and </li>      <li>Implement a permanent engineered solution against  external flooding, restoring protection against the 1 in 10,000 year event and  taking due cognisance of the need for a margin against more severe events, on a  timescale of months.</li>    </ol>  </li>  </ol><p>ONR will continue to monitor NGLâ\u0080\u0099s programme of safety  improvements at Dungeness&nbsp;B until permanent engineered protection is in  place, taking enforcement action if necessary.Â   ONR will also monitor NGLâ\u0080\u0099s investigation of this incident to ensure  that appropriate lessons are learnt.</p><p> This  incident has been rated at Level 1 on INES, which is an anomaly on the 7 level  scale.</p>",50.91333,0.95985,T
Dungeness B,Dungeness,N/A,01/03/03,Q4 12,2012,1,1,"<p> On  5 November 2012, EDF Energy Nuclear Generation Ltd (NGL) found that an  incorrect control rod had been loaded into Reactor 22 at Dungeness B in March  2003. The misload was identified during routine control rod maintenance after  their removal from the reactor.</p><p> There  are a total of 57 control rods of two different types in each reactor at  Dungeness&nbsp;B: 36 more absorbing black rods and 21 less absorbing grey  rods.Â  The issue related to a grey rod  being loaded where a black rod should have been.Â </p><p> At  the time this misload was identified, Reactor 21 was in a shutdown state on a  planned refuelling outage whilst Reactor 22 was operating.Â  NGL produced a justification for continued  operation of Reactor 22 until its next planned refuelling outage in January 2013.  NGL also placed embargoes on refuelling and subsequent re-start of  Reactor&nbsp;21 due to the possibility of such a loading fault on that reactor  too.Â  These embargoes were lifted  progressively as additional information became available, culminating in a justification  for the re-start of Reactor 21.Â  ONR was satisfied  by NGLâ\u0080\u0099s decision-making process throughout.</p><p> To support the safety justification for the re-start  of Reactor 21, NGL produced evidence of control rod inventory and maintenance  and movement documentation.Â  ONR  inspectors are content with the conclusions of these review reports. </p><p> ONR  considers NGLâ\u0080\u0099s investigation and corrective action plan to be adequate,  subject to extension of a planned human factors assessment to cover the process  for generation and control of records for both reactors.Â  NGL is taking this ONR recommendation through  its due process and has indicated its intent to progress it.</p><p> NGL  has established that this incident was caused by a procedural failure prior to  the misloading incident in 2003.</p><p> Due  to the age of the incident, the improvements made by NGL and the corrective  actions identified, ONR is not planning further investigation but will continue  to discuss with NGL potential improvements to safety cases dealing with control  rod misload.</p><p> This  incident has been rated at Level 1 on INES, which is an anomaly on the 7 level  scale.</p>",50.91333,0.95985,F
Dungeness  B,Dungeness,N/A,01/05/13,Q2 13,2013,1,1,"<p>In its <a href=""http://www.hse.gov.uk/nuclear/quarterly-stat/2012-4.htm"">statement of nuclear  incidents at nuclear installations</a> for the fourth quarter of 2012, ONR  reported that EDF Energy Nuclear Generation Ltd (NGL) had notified the  regulator that the primary sea defence at the Dungeness B power station (a  shingle bank) was not as robust as previously thought.Â  This incident arose from work commissioned by  NGL in response to recommendation 10 in the <a href=\""http://www.hse.gov.uk/nuclear/fukushima/interim-report.pdf\"">interim  Weightman report</a> into the implications for the UK  from Fukushima, which required the UK nuclear  industry to review external flooding studies.Â   For Dungeness B, this review indicated higher â\u0080\u0098over toppingâ\u0080\u0099 rates for  the primary sea defence than previously thought - this is the rate at which sea  water comes over the top of the primary sea defence.</p>  <p>Following this  incident in December 2012, NGL installed local flood protection around key  safety related equipment.Â Â  Improvements  were also made to operating procedures and further extensive modelling and  physical testing was commissioned to obtain more certainty in the predicted sea  water levels on site during 1 in 1,000 and 1 in 10,000 year events.</p>  <p>This programme  of modelling and physical testing was completed in May 2013.Â  The results confirmed that the over topping  rates in use since the December 2012 incident were conservative.Â  However, the results also indicated that  â\u0080\u0098outflankingâ\u0080\u0099 of the primary sea defence could be a significant contributor to  sea water levels on the site - this is where sea flooding to the sides of the  primary sea defence in front of the site leads to water on the site.Â  The new work indicated that the local flood  protection work already completed needed to be extended and improved to further  enhance the protection against sea flooding hazards.</p>  <p>Having reviewed  all aspects of the new hazard predictions, NGL decided to shut down Reactor 22  whilst a programme of improvements to plant, procedures and training was </p>  <p>implemented.Â  Reactor 22 was shut down on 20 May 2013.Â  At that time the other reactor on the site,  Reactor 21, was already shut down on a planned refuelling outage.Â  NGL decided to prepare a sea flooding safety  case at Category 1 (the highest safety significance category and hence  employing the most robust NGL approval process) to support the return to  service.</p>  <p> A  multi-disciplinary team of ONR specialist inspectors, together with the ONR  site inspector and an ONR project inspector monitored the evolution of NGLâ\u0080\u0099s  return to service safety case so that ONR was satisfied that:</p>  <ol class=\""a\"">    <li>An  adequate safety case was prepared in terms of plant, procedures and training at  return to service.</li>    <li>An  adequate forward programme of post return to service improvements is in place  to ensure that safety continues to improve until a final long term position is  reached.</li>  </ol>  <p>Reactor 22  returned to service under the sea flooding return to service safety case on 14  July 2013 and Reactor 21 will return to service several days after this.</p>  <p>ONR will  continue to monitor post return to service sea flooding improvements until the  sea flooding design basis for Dungeness B has been fully restored (protection  against the 1 in 10,000 year sea flooding event with a margin against more  severe but less likely sea flooding).Â   This will happen when a protective wall has been built around the site,  the safety benefit from which is claimed in a final long term sea flooding  safety case.</p>  <p>NGL has  committed to have the protective wall in place by the end of 2013.</p>  <p>The  incident originally reported in December 2012 was rated by NGL at Level 1 on  INES, which is an anomaly on the 7 level scale  </p>",50.91333,0.95985,T
Sellafield & Calderworks,Sellafield,N/A,01/03/13,Q2 13,2013,0,0,"<p>An asset inspection of  Pipe bridge 39 in March 2013 identified contamination around its base and steel  structure.Â  Further isotopic analysis of  material samples identified that the total radioactivity exceeded the quantity  specified in Schedule&nbsp;8 of the Ionising Radiation Regulations 1999, which  requires notification to HSE in accordance with Regulation 30.</p>  <p> Sellafield Ltdâ\u0080\u0099s  analysis of samples showed the contamination to be historic based upon isotope  decay profiles.Â  Sellafield Ltdâ\u0080\u0099s  investigation concluded that the source of contamination was a degraded,  redundant ventilation duct previously connected to an active facility that had  been demolished in the early 1990s.</p>  <p> ONRâ\u0080\u0099s Site Inspector  followed-up this event and&nbsp;agrees with&nbsp;Sellafield Ltdâ\u0080\u0099s conclusion  regarding the source of contamination.Â   ONR has confirmed that Sellafield Ltd has followed its arrangements for  reporting the event and that it has responded appropriately by sealing the  contamination to prevent it spreading and recording it on the Site Contaminated  Land Register.Â  ONR is also satisfied  that Sellafield Ltd has work in hand to remove the redundant ventilation duct  and that there was no serious risk of harm to the public or workforce from this  event.</p>  <p>The ONR Inspector has  evaluated this event against HSEâ\u0080\u0099s Enforcement  Management Model and concluded that further enforcement action is not  appropriate. </p>  <p> This incident has been  provisionally rated at Level 0 on INES.</p>",54.4193,-3.4874,F
Sellafield & Calderworks,Sellafield,N/A,01/03/13,Q2 13,2013,0,0,"<p>During routine  radiological survey work on the Sellafield site in March 2012, surface  contamination was discovered around part of a building floor slab, whose  structure had been demolished in the 1980s.Â   At the time of the discovery, contamination levels were considered to be  below the notification levels specified in Schedule&nbsp;8 of the Ionising  Radiation Regulations 1999.Â  Following  further intrusive ground sampling by Sellafield Ltd,&nbsp;it was able to  confirm in June 2013 that the level of contamination was significantly higher than that originally reported  and immediately notified the increased levels&nbsp;of contamination to  ONR.&nbsp; </p>  <p> Sellafield Ltdâ\u0080\u0099s  investigation into the event concluded that the cause of the contamination was  historic in nature based upon isotope decay profiles of soil samples, and  knowledge of the operations previously undertaken in the since demolished  facility.</p>  <p> ONRâ\u0080\u0099s Site Inspector  followed-up this event and&nbsp;agrees with&nbsp;Sellafield Ltdâ\u0080\u0099s conclusion  regarding the source of contamination.Â   ONR has confirmed that Sellafield Ltd has followed its arrangements for  reporting the event and that it has responded appropriately by sealing the  contamination to prevent it spreading and recording it on the Site Contaminated  Land Register.Â  ONR is also satisfied and  that there was no serious risk of harm to the public or workforce from this  event. </p>  <p> The ONR Inspector has  evaluated this event against HSEâ\u0080\u0099s Enforcement  Management Model and concluded that further enforcement action is not  appropriate.</p>  <p>This incident has been provisionally rated at  Level 0 on INES.</p>",54.4193,-3.4874,F
